"refext","route","pr","abs","dep","siredo","libelle","source","reg","nomreg","metropole","longitude","latitude","tipi","focus"
"5221.00_1","A630",4,330,"33","MB333.A1","Pont d'Aquitaine (Sens Exterieur)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.553472050078618","44.8831106818226","ALIENOR",1
"5324.01_1","A630",24,550,"33","MB333.B1","S25 (Sens Exterieur)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.629021393532075","44.7883675704129","ALIENOR",1
"5324.01_2","A630",24,550,"33","MB333.b2","S25 (Sens Interieur)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.628816087561143","44.7885558687486","ALIENOR",1
"5722.03_1","A630",17,186,"33","MB233.H1","S17 (Sens Exterieur)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.676663130068883","44.8335048549349","ALIENOR",1
"0563.00_1","A630",17,186,"33","MB233.H2","S17 (Sens Interieur)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.676421716882004","44.8334851243149","ALIENOR",1
"5021.02_2","A630",1,43,"33","MB333.G2","S02 (Sens Interieur)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.516312344681872","44.8846178179335","ALIENOR",1
"5021.01_1","A630",1,43,"33","MB333.G1","S02 (Sens Exterieur)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.516325961645193","44.8847433490417","ALIENOR",1
"5010.02_2","A63",18,0,"33","MB133.u2","S65 (Vers Bordeaux)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.793577720119691","44.6793033535067","ALIENOR",1
"5010.02_1","A63",18,0,"33","MB133.u1","S65 (Vers Bayonne)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.793718605413992","44.6794492402101","ALIENOR",1
"5405.00_2","A62",9,674,"33","MB133.O2","S74 (Vers Toulouse)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.498065884640665","44.6964052644089","ALIENOR",1
"5405.00_1","A62",9,674,"33","MB133.O1","S74 (Vers Toulouse)","bordeaux","75","Nouvelle-Aquitaine","Bordeaux Métropole","-0.498203963972036","44.6963571886175","ALIENOR",1
